x1,x2,y1,y2,Outcome
6,148,72,35,1
1,85,66,29,0
8,183,64,0,1
1,89,66,23,0
0,137,40,35,1
5,116,74,0,0
3,78,50,32,1
10,115,0,0,0
2,197,70,45,1
8,125,96,0,1
4,110,92,0,0
10,168,74,0,1
10,139,80,0,0
1,189,60,23,1
5,166,72,19,1
7,100,0,0,1
0,118,84,47,1
7,107,74,0,1
1,103,30,38,0
1,115,70,30,1
3,126,88,41,0
8,99,84,0,0
7,196,90,0,1
9,119,80,35,1
11,143,94,33,1
10,125,70,26,1
7,147,76,0,1
1,97,66,15,0
13,145,82,19,0
5,117,92,0,0
5,109,75,26,0
3,158,76,36,1
3,88,58,11,0
6,92,92,0,0
10,122,78,31,0
4,103,60,33,0
11,138,76,0,0
9,102,76,37,1
2,90,68,42,1
4,111,72,47,1
3,180,64,25,0
7,133,84,0,0
7,106,92,18,0
9,171,110,24,1
7,159,64,0,0
0,180,66,39,1
1,146,56,0,0
2,71,70,27,0
7,103,66,32,1
7,105,0,0,0
1,103,80,11,0
1,101,50,15,0
5,88,66,21,0
8,176,90,34,1
7,150,66,42,0
1,73,50,10,0
7,187,68,39,1
0,100,88,60,0
0,146,82,0,0
0,105,64,41,0
2,84,0,0,0
8,133,72,0,1
5,44,62,0,0
2,141,58,34,0
7,114,66,0,1
5,99,74,27,0
0,109,88,30,1
2,109,92,0,0
1,95,66,13,0
4,146,85,27,0
2,100,66,20,1
5,139,64,35,0
13,126,90,0,1
4,129,86,20,0
1,79,75,30,0
1,0,48,20,0
7,62,78,0,0
5,95,72,33,0
0,131,0,0,1
2,112,66,22,0
3,113,44,13,0
2,74,0,0,0
7,83,78,26,0
0,101,65,28,0
5,137,108,0,1
2,110,74,29,0
13,106,72,54,0
2,100,68,25,0
15,136,70,32,1
1,107,68,19,0
1,80,55,0,0
4,123,80,15,0
7,81,78,40,0
4,134,72,0,1
2,142,82,18,0
6,144,72,27,0
2,92,62,28,0
1,71,48,18,0
6,93,50,30,0
1,122,90,51,1
1,163,72,0,1
1,151,60,0,0
0,125,96,0,0
1,81,72,18,0
2,85,65,0,0
1,126,56,29,0
1,96,122,0,0
4,144,58,28,0
3,83,58,31,0
0,95,85,25,1
3,171,72,33,1
8,155,62,26,1
1,89,76,34,0
4,76,62,0,0
